name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Between The Lines Sara Bareilles Live At The Fillmore,10/28/2008,,Prime Video ,,Movie,,8.2/10,,"[{'name': 'Sara Bareilles', 'description': 'actor'}]"
Uprising,1/1/2001,"History, Drama",Prime Video ,America,Movie,,7.2/10,,"[{'name': 'Jon Avnet', 'description': 'director'}, {'name': 'Leelee Sobieski', 'description': 'actor'}, {'name': 'Hank Azaria', 'description': 'actor'}, {'name': 'David Schwimmer', 'description': 'actor'}, {'name': 'Jon Voight', 'description': 'actor'}, {'name': 'Donald Sutherland', 'description': 'actor'}, {'name': 'Stephen Moyer', 'description': 'actor'}, {'name': 'Sadie Frost', 'description': 'actor'}, {'name': 'Radha Mitchell', 'description': 'actor'}, {'name': 'Mili Avital', 'description': 'actor'}, {'name': 'Eric Lively', 'description': 'actor'}, {'name': 'Cary Elwes', 'description': 'actor'}, {'name': 'Andy Nyman', 'description': 'actor'}, {'name': 'Jesper Christensen', 'description': 'actor'}, {'name': 'Anton Lesser', 'description': 'actor'}, {'name': 'Ben Crystal', 'description': 'actor'}, {'name': 'Alexandra Holden', 'description': 'actor'}, {'name': 'Jon Avnet', 'description': 'author'}, {'name': 'Paul Brickman', 'description': 'author'}]"
Dark Figures,11/10/2020,"Thriller, Horror","Free Services, Prime Video",America,Movie,18+ (R),10-Mar,,"[{'name': 'Alex Tait', 'description': 'director'}, {'name': 'Kelly McCart', 'description': 'actor'}, {'name': 'Shelby Lyn', 'description': 'actor'}, {'name': 'Dan Nufer', 'description': 'actor'}, {'name': 'Ben Scattone', 'description': 'actor'}, {'name': 'Otis Bassett', 'description': 'actor'}, {'name': 'Alex Tait', 'description': 'actor'}, {'name': 'Cynthia Asmar', 'description': 'actor'}, {'name': 'Jeffrey J. Moore', 'description': 'actor'}, {'name': 'Teressa A. Wickham', 'description': 'actor'}, {'name': 'Alex Tait', 'description': 'author'}]"
The Case of the Black Parrot,1/9/1941,"Crime, Thriller",Prime Video ,America,Movie,,5.9/10,,"[{'name': 'Noel M. Smith', 'description': 'director'}, {'name': 'William Lundigan', 'description': 'actor'}, {'name': 'Maris Wrixon', 'description': 'actor'}, {'name': 'Eddie Foy Jr.', 'description': 'actor'}, {'name': 'Paul Cavanagh', 'description': 'actor'}, {'name': 'Luli Deste', 'description': 'actor'}, {'name': 'Charles Waldron', 'description': 'actor'}, {'name': 'Joseph Crehan', 'description': 'actor'}, {'name': 'Emory Parnell', 'description': 'actor'}, {'name': 'Phyllis Barry', 'description': 'actor'}, {'name': 'Cyril Thornton', 'description': 'actor'}, {'name': 'Leyland Hodgson', 'description': 'actor'}, {'name': 'Ernie Stanton', 'description': 'actor'}, {'name': 'Cliff Saum', 'description': 'actor'}, {'name': 'Kenneth Harlan', 'description': 'actor'}, {'name': 'William Hopper', 'description': 'actor'}, {'name': 'Jack Mower', 'description': 'actor'}, {'name': 'Robert E. Kent', 'description': 'author'}]"
"Cold War, Hot Jets",11/8/2013,Documentary,"Free Services, Prime Video",,TV Show,,7.9/10,1,"[{'name': 'James Holland', 'description': 'actor'}, {'name': 'Jeremy Hall', 'description': 'actor'}]"
From Iceland to EDEN,5/10/2019,"Drama, Crime","Free Services, Prime Video",,Movie,,10-Jun,,"[{'name': 'Snævar Sölvason', 'description': 'director'}, {'name': 'Telma Huld Jóhannesdóttir', 'description': 'actor'}, {'name': 'Hansel Eagle', 'description': 'actor'}, {'name': 'Arnar Jónsson', 'description': 'actor'}, {'name': 'Hjalti P. Finsson', 'description': 'actor'}, {'name': 'Gunnar Marís', 'description': 'actor'}, {'name': 'Einar Viðar G. Thoroddsen', 'description': 'actor'}, {'name': 'Steinunn Ólína Þorsteinsdóttir', 'description': 'actor'}, {'name': 'Snævar Sölvason', 'description': 'author'}]"
Dodo Heroes,6/9/2018,"Reality, Documentary","Philo, Prime Video",,TV Show,7+ (TV-PG),7.9/10,2,[]
Dragon Fighter,1/4/2003,"Action & Adventure, Thriller","Free Services, Prime Video",America,Movie,18+ (R),3.3/10,,"[{'name': 'Phillip J. Roth', 'description': 'director'}, {'name': 'Dean Cain', 'description': 'actor'}, {'name': 'Robert Zachar', 'description': 'actor'}, {'name': 'Kristine Byers', 'description': 'actor'}, {'name': 'Marcus Aurelius', 'description': 'actor'}, {'name': 'Robert DiTillio', 'description': 'actor'}, {'name': 'Vesela Dimitrova', 'description': 'actor'}, {'name': 'Hristo Shopov', 'description': 'actor'}, {'name': 'Hristo Dimitrov', 'description': 'actor'}, {'name': 'Dean Cain', 'description': 'actor'}, {'name': 'Jeffery Beach', 'description': 'actor'}, {'name': 'Melanie J. Elin', 'description': 'actor'}, {'name': 'Phillip J. Roth', 'description': 'actor'}, {'name': 'James Hollensteiner', 'description': 'actor'}, {'name': 'Ken Olandt', 'description': 'actor'}, {'name': 'Richard Smith', 'description': 'actor'}, {'name': 'Thomas J. Niedermeyer Jr.', 'description': 'actor'}, {'name': 'Michael Johnston', 'description': 'author'}, {'name': 'Phillip J. Roth', 'description': 'author'}]"
Custody,1/25/2018,"Mystery, Drama","Kanopy, Prime Video",France,Movie,,7.5/10,,"[{'name': 'Xavier Legrand', 'description': 'director'}, {'name': 'Denis Ménochet', 'description': 'actor'}, {'name': 'Léa Drucker', 'description': 'actor'}, {'name': 'Thomas Gioria', 'description': 'actor'}, {'name': 'Mathilde Auneveux', 'description': 'actor'}, {'name': 'Mathieu Saikaly', 'description': 'actor'}, {'name': 'Florence Janas', 'description': 'actor'}, {'name': 'Saadia Bentaïeb', 'description': 'actor'}, {'name': 'Sophie Pincemaille', 'description': 'actor'}, {'name': 'Emilie Incerti-Formentini', 'description': 'actor'}, {'name': 'Jérome Care-Aulanier', 'description': 'actor'}, {'name': 'Jenny Bellay', 'description': 'actor'}, {'name': 'Jean-Marie Winling', 'description': 'actor'}, {'name': 'Martine Vandeville', 'description': 'actor'}, {'name': 'Martine Schambacher', 'description': 'actor'}, {'name': 'Jean-Claude Leguay', 'description': 'actor'}, {'name': 'Coralie Russier', 'description': 'actor'}, {'name': 'Alexandre Gavras', 'description': 'actor'}, {'name': 'Xavier Legrand', 'description': 'author'}]"
Forced To Fight,8/31/2011,"Action & Adventure, Thriller","Free Services, Prime Video",Canada,Movie,,4.3/10,,"[{'name': 'Jonas Quastel', 'description': 'director'}, {'name': 'Gary Daniels', 'description': 'actor'}, {'name': 'Vladimir Comorovschi', 'description': 'actor'}, {'name': 'Peter Weller', 'description': 'actor'}, {'name': 'Brian Flaherty', 'description': 'actor'}, {'name': 'Philip Granger', 'description': 'actor'}, {'name': 'Arkie Reece', 'description': 'actor'}, {'name': 'Florin Roata', 'description': 'actor'}, {'name': 'Claudiu-Cristian Prisecaru', 'description': 'actor'}, {'name': 'Mihai Raducu', 'description': 'actor'}, {'name': 'Andrew Bronstein', 'description': 'author'}, {'name': 'Jonas Quastel', 'description': 'author'}, {'name': 'Kenton Gilchrist', 'description': 'actor'}]"
WordWorld,9/5/2007,"Animation, Family","Free Services, Prime Video",,TV Show,All (TV-G),6.6/10,3,"[{'name': 'Veronica Taylor', 'description': 'actor'}, {'name': 'Marc Thompson', 'description': 'actor'}, {'name': 'Alex Kay', 'description': 'actor'}, {'name': 'Jacqueline Moody', 'description': 'actor'}, {'name': 'Olexa Hewryk', 'description': 'actor'}, {'name': 'Sue Hollenberg', 'description': 'actor'}, {'name': 'Tyler Bunch', 'description': 'actor'}, {'name': 'Don Moody', 'description': 'actor'}, {'name': 'Robert Vargas', 'description': 'author'}]"
Cinderella,2/22/1965,"Romance, Fantasy","Free Services, Prime Video",America,Movie,All (G),7.7/10,,"[{'name': 'Charles S. Dubin', 'description': 'director'}, {'name': 'Lesley Ann Warren', 'description': 'actor'}, {'name': 'Stuart Damon', 'description': 'actor'}, {'name': 'Ginger Rogers', 'description': 'actor'}, {'name': 'Walter Pidgeon', 'description': 'actor'}, {'name': 'Celeste Holm', 'description': 'actor'}, {'name': 'Jo Van Fleet', 'description': 'actor'}, {'name': 'Pat Carroll', 'description': 'actor'}, {'name': 'Barbara Ruick', 'description': 'actor'}, {'name': 'Joe E. Marks', 'description': 'actor'}, {'name': 'Don Heitgerd', 'description': 'actor'}, {'name': 'Butch Sherwood', 'description': 'actor'}, {'name': 'Bill Lee', 'description': 'actor'}, {'name': 'Betty Noyes', 'description': 'actor'}, {'name': 'Trudi Ames', 'description': 'actor'}, {'name': 'Myra Stephens', 'description': 'actor'}, {'name': 'Linda Howe', 'description': 'actor'}, {'name': 'Francesca Bellini', 'description': 'actor'}, {'name': 'Alicia Adams', 'description': 'actor'}, {'name': 'Rosemarie Rand', 'description': 'actor'}, {'name': 'Jackie Ward', 'description': 'actor'}, {'name': 'Debbie Megowan', 'description': 'actor'}, {'name': 'Charles S. Dubin', 'description': 'actor'}, {'name': 'Richard Rodgers', 'description': 'actor'}]"
Paris 1919: Un traité pour la paix,4/1/2009,"Documentary, Drama",Kanopy,Canada,Movie,,7.4/10,,"[{'name': 'Paul Cowan', 'description': 'director'}, {'name': 'Paul Cowan', 'description': 'author'}]"
The Egg: Life’s Perfect Invention,,,Kanopy,,Movie,,,,"[{'name': 'Bethan Jones', 'description': 'director'}, {'name': 'Mike Birkhead', 'description': 'director'}]"
Batman: Year One,9/27/2011,"Crime, Action & Adventure","HBO MAX, Prime Video",America,Movie,13+ (PG-13),7.3/10,,"[{'name': 'Lauren Montgomery', 'description': 'director'}, {'name': 'Sam Liu', 'description': 'director'}, {'name': 'Ben McKenzie', 'description': 'actor'}, {'name': 'Bryan Cranston', 'description': 'actor'}, {'name': 'Eliza Dushku', 'description': 'actor'}, {'name': 'Jon Polito', 'description': 'actor'}, {'name': 'Alex Rocco', 'description': 'actor'}, {'name': 'Katee Sackhoff', 'description': 'actor'}, {'name': 'Sara Ballantine', 'description': 'actor'}, {'name': 'Jeff Bennett', 'description': 'actor'}, {'name': 'Steve Blum', 'description': 'actor'}, {'name': 'Roark Critchlow', 'description': 'actor'}, {'name': 'Grey DeLisle', 'description': 'actor'}, {'name': 'Robin Atkin Downes', 'description': 'actor'}, {'name': 'Keith Ferguson', 'description': 'actor'}, {'name': 'Danny Jacobs', 'description': 'actor'}, {'name': 'Nick Jameson', 'description': 'actor'}, {'name': 'Liliana Mumy', 'description': 'actor'}, {'name': 'Pat Musick', 'description': 'actor'}, {'name': 'Andrea Romano', 'description': 'actor'}, {'name': 'Stephen Root', 'description': 'actor'}, {'name': 'James Patrick Stuart', 'description': 'actor'}, {'name': 'Fred Tatasciore', 'description': 'actor'}, {'name': 'Lauren Montgomery', 'description': 'actor'}]"
Sex and Lucía,8/24/2001,"Romance, Drama","Free Services, Prime Video",France,Movie,18+ (R),7.1/10,,"[{'name': 'Julio Medem', 'description': 'director'}, {'name': 'Paz Vega', 'description': 'actor'}, {'name': 'Tristán Ulloa', 'description': 'actor'}, {'name': 'Najwa Nimri', 'description': 'actor'}, {'name': 'Daniel Freire', 'description': 'actor'}, {'name': 'Elena Anaya', 'description': 'actor'}, {'name': 'Silvia Llanos', 'description': 'actor'}, {'name': 'Diana Suárez', 'description': 'actor'}, {'name': 'Javier Cámara', 'description': 'actor'}, {'name': 'Juan Fernández', 'description': 'actor'}, {'name': 'Enrique López Lavigne', 'description': 'actor'}, {'name': 'Fernando Bovaira', 'description': 'actor'}, {'name': 'Anna Cassina', 'description': 'actor'}, {'name': 'Luis María Reyes', 'description': 'actor'}, {'name': 'Julio Medem', 'description': 'author'}, {'name': 'Alberto Iglesias', 'description': 'actor'}]"
The Fool,12/7/1990,"Action & Adventure, Drama","Free Services, Prime Video",United Kingdom,Movie,,5.9/10,,"[{'name': 'Christine Edzard', 'description': 'director'}, {'name': 'Derek Jacobi', 'description': 'actor'}, {'name': 'Cyril Cusack', 'description': 'actor'}, {'name': 'Ruth Mitchell', 'description': 'actor'}, {'name': 'Maria Aitken', 'description': 'actor'}, {'name': 'Irina Brook', 'description': 'actor'}, {'name': 'Paul Brooke', 'description': 'actor'}, {'name': 'Richard Caldicot', 'description': 'actor'}, {'name': 'James Cairncross', 'description': 'actor'}, {'name': 'Jim Carter', 'description': 'actor'}, {'name': 'Jonathan Cecil', 'description': 'actor'}, {'name': 'Maria Charles', 'description': 'actor'}, {'name': 'Richard Clifford', 'description': 'actor'}, {'name': 'James Cosmo', 'description': 'actor'}, {'name': 'Rosalie Crutchley', 'description': 'actor'}, {'name': 'Celia Bannerman', 'description': 'actor'}, {'name': 'Christine Edzard', 'description': 'author'}, {'name': 'Olivier Stockman', 'description': 'author'}, {'name': 'Michel Sanvoisin', 'description': 'actor'}]"
Cursed: Sheol,7/25/2011,Horror,Prime Video ,,Movie,,5.6/10,,[]
RC Propbusters: Untold,1/26/2019,Documentary,Prime Video ,,Movie,,7.4/10,,[]
The Garden,1/8/2006,"Drama, Horror","Free Services, Prime Video",America,Movie,,4.6/10,,"[{'name': 'Don Michael Paul', 'description': 'director'}, {'name': 'Lance Henriksen', 'description': 'actor'}, {'name': 'Brian Wimmer', 'description': 'actor'}, {'name': 'Adam Taylor Gordon', 'description': 'actor'}, {'name': 'Claudia Christian', 'description': 'actor'}, {'name': 'Sean Young', 'description': 'actor'}, {'name': 'Victoria Justice', 'description': 'actor'}, {'name': 'Erik Walker', 'description': 'actor'}, {'name': 'Michael Dubelko', 'description': 'actor'}, {'name': 'Stephen J. Cannell', 'description': 'actor'}, {'name': 'John W. Hyde', 'description': 'actor'}, {'name': 'Morris Berger', 'description': 'actor'}, {'name': 'Stephen R. Brown', 'description': 'actor'}, {'name': 'Sam Bozzo', 'description': 'author'}]"
They Live,11/23/1988,"Science-Fiction, Action & Adventure","Shudder, Prime Video",America,Movie,18+ (R),7.2/10,,"[{'name': 'John Carpenter', 'description': 'director'}, {'name': 'Roddy Piper', 'description': 'actor'}, {'name': 'Keith David', 'description': 'actor'}, {'name': 'Meg Foster', 'description': 'actor'}, {'name': 'George Buck Flower', 'description': 'actor'}, {'name': 'Peter Jason', 'description': 'actor'}, {'name': 'Raymond St. Jacques', 'description': 'actor'}, {'name': 'Jason Robards III', 'description': 'actor'}, {'name': 'John Lawrence', 'description': 'actor'}, {'name': 'Susan Barnes', 'description': 'actor'}, {'name': 'Sy Richardson', 'description': 'actor'}, {'name': 'Wendy Brainard', 'description': 'actor'}, {'name': 'Lucille Meredith', 'description': 'actor'}, {'name': 'Susan Blanchard', 'description': 'actor'}, {'name': 'Norman Alden', 'description': 'actor'}, {'name': 'Dana Bratton', 'description': 'actor'}, {'name': 'John F. Goff', 'description': 'actor'}, {'name': 'Norman D. Wilson', 'description': 'actor'}, {'name': 'Thelma Lee', 'description': 'actor'}, {'name': 'Stratton Leopold', 'description': 'actor'}, {'name': 'Rezza Shan', 'description': 'actor'}, {'name': 'Norman Howell', 'description': 'actor'}, {'name': 'Larry J. Franco', 'description': 'actor'}, {'name': 'Andre Blay', 'description': 'actor'}]"
While You Were Out,3/16/2019,Reality,Hulu,,TV Show,,,1,[]
Rocky Mountain Summer,,,Free Services,,Movie,,,,"[{'name': 'Joseph V Micallef', 'description': 'director'}]"
Subhash Chandra Bose: The Mystery,7/18/2016,"Documentary, Mystery",Discovery+,,Movie,,7.7/10,,[]
Adoration,1/22/2020,"Thriller, Drama","Free Services, Prime Video",Belgium,Movie,,6.2/10,,"[{'name': 'Fabrice Du Welz', 'description': 'director'}, {'name': 'Thomas Gioria', 'description': 'actor'}, {'name': 'Fantine Harduin', 'description': 'actor'}, {'name': 'Benoît Poelvoorde', 'description': 'actor'}, {'name': 'Laurent Lucas', 'description': 'actor'}, {'name': 'Gwendolyn Gourvenec', 'description': 'actor'}, {'name': 'Anaël Snoek', 'description': 'actor'}, {'name': 'Charlotte Vandermeersch', 'description': 'actor'}, {'name': 'Martha Canga Antonio', 'description': 'actor'}, {'name': 'Sandor Funtek', 'description': 'actor'}, {'name': 'Jean-Luc Couchard', 'description': 'actor'}, {'name': 'Pierre Nisse', 'description': 'actor'}, {'name': 'Renaud Rutten', 'description': 'actor'}, {'name': 'Manuel Chiche', 'description': 'actor'}, {'name': 'Vincent Tavier', 'description': 'actor'}, {'name': 'Fabrice Du Welz', 'description': 'author'}, {'name': 'Romain Protat', 'description': 'author'}, {'name': 'Vincent Tavier', 'description': 'author'}, {'name': 'Vincent Cahay', 'description': 'actor'}]"
Scream Returns,11/2/2018,"Horror, Thriller",Free Services,,Movie,,5.2/10,,[]
Ghoulies IV,8/17/1994,"Horror, Comedy","Free Services, Prime Video",America,Movie,18+ (R),2.8/10,,"[{'name': 'Jim Wynorski', 'description': 'director'}, {'name': 'Peter Liapis', 'description': 'actor'}, {'name': 'Barbara Alyn Woods', 'description': 'actor'}, {'name': 'Stacie Randall', 'description': 'actor'}, {'name': 'Raquel Krelle', 'description': 'actor'}, {'name': 'Bobby Di Cicco', 'description': 'actor'}, {'name': 'Tony Cox', 'description': 'actor'}, {'name': 'Arturo Gil', 'description': 'actor'}, {'name': 'Lynn Danielson-Rosenthal', 'description': 'actor'}, {'name': 'Antonia Dorian', 'description': 'actor'}, {'name': 'Tony March', 'description': 'actor'}, {'name': 'Ace Mask', 'description': 'actor'}, {'name': 'Philip McKeon', 'description': 'actor'}, {'name': 'Peggy Trentini', 'description': 'actor'}, {'name': 'Gary Schmoeller', 'description': 'actor'}, {'name': 'Mark Sevi', 'description': 'author'}, {'name': 'Chuck Cirino', 'description': 'actor'}]"
Ex Libris: The New York Public Library,9/13/2017,Documentary,Kanopy,America,Movie,,7.4/10,,"[{'name': 'Frederick Wiseman', 'description': 'director'}, {'name': 'Elvis Costello', 'description': 'actor'}, {'name': 'Richard Dawkins', 'description': 'actor'}, {'name': 'Patti Smith', 'description': 'actor'}, {'name': 'Ta-Nehisi Coates', 'description': 'actor'}, {'name': 'Frederick Wiseman', 'description': 'actor'}, {'name': 'Karen Konicek', 'description': 'actor'}]"
Baap Re Baap Dokyala Taap,9/12/2008,Comedy,Prime Video ,,Movie,,5.9/10,,[]
Air Warriors,11/9/2014,"History, Documentary","Free Services, Prime Video",America,TV Show,7+ (TV-PG),7.5/10,10,[]
If I Could Tell You,8/2/2016,"Animation, Drama",Free Services,America,Movie,16+,7.2/10,,"[{'name': 'Benjamin Clyde', 'description': 'director'}, {'name': 'Robert E. Clyde', 'description': 'director'}, {'name': 'Avery Clyde', 'description': 'actor'}, {'name': 'Kevin Richardson', 'description': 'actor'}, {'name': 'Sharon Lawrence', 'description': 'actor'}, {'name': ""Jim O'Heir"", 'description': 'actor'}, {'name': 'Lucy DeVito', 'description': 'actor'}, {'name': 'Ryan Spahn', 'description': 'actor'}, {'name': 'Joel Bryant', 'description': 'actor'}, {'name': 'Michael Dempsey', 'description': 'actor'}, {'name': 'Benjamin Clyde', 'description': 'author'}, {'name': 'Robert E. Clyde', 'description': 'author'}]"
Far Out Ones,,,Free Services,,Movie,,,,"[{'name': 'Teton Gravity Research', 'description': 'director'}]"
That Man from Rio,2/5/1964,"Romance, Action & Adventure","Free Services, Prime Video",France,Movie,,10-Jul,,"[{'name': 'Philippe de Broca', 'description': 'director'}, {'name': 'Jean-Paul Belmondo', 'description': 'actor'}, {'name': 'Françoise Dorléac', 'description': 'actor'}, {'name': 'Jean Servais', 'description': 'actor'}, {'name': 'Simone Renant', 'description': 'actor'}, {'name': 'Adolfo Celi', 'description': 'actor'}, {'name': 'Roger Dumas', 'description': 'actor'}, {'name': 'Daniel Ceccaldi', 'description': 'actor'}, {'name': 'Ubiracy De Oliveira', 'description': 'actor'}, {'name': 'Milton Ribeiro', 'description': 'actor'}, {'name': 'Lucien Raimbourg', 'description': 'actor'}, {'name': 'Robert Blome', 'description': 'actor'}, {'name': 'Louise Chevalier', 'description': 'actor'}, {'name': 'Max Elloy', 'description': 'actor'}, {'name': 'Maurice Hartwig', 'description': 'actor'}, {'name': 'Zé Keti', 'description': 'actor'}, {'name': 'Hal Linden', 'description': 'actor'}, {'name': 'Annik Malvil', 'description': 'actor'}, {'name': 'Marie Marc', 'description': 'actor'}, {'name': 'Nina Myral', 'description': 'actor'}, {'name': 'André Tomasi', 'description': 'actor'}, {'name': 'Alexandre Mnouchkine', 'description': 'actor'}, {'name': 'Georges Dancigers', 'description': 'actor'}, {'name': 'Ariane Mnouchkine', 'description': 'author'}]"
Hidden Truth,3/12/2016,"Drama, Mystery","Free Services, Prime Video",America,Movie,13+ (PG-13),5.3/10,,"[{'name': 'Steven R. Monroe', 'description': 'director'}, {'name': 'Shawn Christian', 'description': 'actor'}, {'name': 'Heidi Fielek', 'description': 'actor'}, {'name': 'Diana Hopper', 'description': 'actor'}, {'name': 'Brendan McCarthy', 'description': 'actor'}, {'name': 'Richard Meehan', 'description': 'actor'}, {'name': 'Jessica Morris', 'description': 'actor'}, {'name': 'Parker Stevenson', 'description': 'actor'}, {'name': 'Brittany Underwood', 'description': 'actor'}, {'name': 'Eric Scott Woods', 'description': 'actor'}, {'name': 'Sarah Lind', 'description': 'actor'}, {'name': 'Richard O. Lowry', 'description': 'author'}, {'name': 'Chris Forsgren', 'description': 'actor'}]"
Six Characters in Search of a Play,3/1/2019,,Free Services,,Movie,,5.3/10,,"[{'name': 'Emerson Collins', 'description': 'director'}]"
The Ride: Overcoming the Impossible,,,Free Services,,Movie,,,,"[{'name': 'Matthew Sezer', 'description': 'director'}]"
All Star Comedy Jam: Live from Orlando,10/9/2012,"Stand-up & Talk, Comedy","Free Services, Prime Video",America,Movie,18+ (R),10-Jun,,"[{'name': 'Leslie Small', 'description': 'director'}, {'name': 'Gary Owen', 'description': 'actor'}, {'name': 'Lil Duval', 'description': 'actor'}, {'name': 'Jay Pharoah', 'description': 'actor'}, {'name': 'Tony T. Roberts', 'description': 'actor'}, {'name': 'Capone Lee', 'description': 'actor'}, {'name': 'Valarie Benning Barney', 'description': 'actor'}]"
The Blended Bunch,3/16/2021,Reality,"Philo, Prime Video",,TV Show,7+ (TV-PG),5.6/10,1,[]
The Animal Project,9/11/2013,"Comedy, Drama",Fandor,Canada,Movie,,6.2/10,,"[{'name': 'Ingrid Veninger', 'description': 'director'}, {'name': 'Aaron Poole', 'description': 'actor'}, {'name': 'Hannah Cheesman', 'description': 'actor'}, {'name': 'Joanne Vannicola', 'description': 'actor'}, {'name': 'Sarena Parmar', 'description': 'actor'}, {'name': 'Kate Corbett', 'description': 'actor'}, {'name': 'Ingrid Veninger', 'description': 'author'}]"
Sebastian,5/26/2017,"Drama, LGBTQ","Free Services, Prime Video",Canada,Movie,,5.3/10,,"[{'name': 'James Fanizza', 'description': 'director'}, {'name': 'Alex House', 'description': 'actor'}, {'name': 'James Fanizza', 'description': 'actor'}, {'name': 'Katya', 'description': 'actor'}, {'name': 'Stacy Smith', 'description': 'actor'}, {'name': 'Leah Doz', 'description': 'actor'}, {'name': 'Brendan Whelton', 'description': 'actor'}, {'name': 'James Fanizza', 'description': 'actor'}, {'name': 'James Fanizza', 'description': 'author'}]"
Those Who Kill,3/3/2014,"Action & Adventure, Drama",Prime Video ,,TV Show,14+ (TV-14),7.1/10,1,"[{'name': 'Chloë Sevigny', 'description': 'actor'}, {'name': ""James D'Arcy"", 'description': 'actor'}, {'name': 'Glen Morgan', 'description': 'actor'}]"
Twenty,3/25/2015,"Drama, Comedy","Free Services, Prime Video",South Korea,Movie,18+ (R),6.8/10,,"[{'name': 'Lee Byeong-hun', 'description': 'director'}, {'name': 'Kim Woo-bin', 'description': 'actor'}, {'name': 'Lee Jun-ho', 'description': 'actor'}, {'name': 'Kang Ha-neul', 'description': 'actor'}, {'name': 'Jung So-min', 'description': 'actor'}, {'name': 'Lee Yu-bi', 'description': 'actor'}, {'name': 'Min Hyo-rin', 'description': 'actor'}, {'name': 'Ahn Jae-hong', 'description': 'actor'}, {'name': 'Heo Joon-seok', 'description': 'actor'}, {'name': 'Park Myung-shin', 'description': 'actor'}, {'name': 'Oh Hyun-kyung', 'description': 'actor'}, {'name': 'Yoon Ga-hyun', 'description': 'actor'}, {'name': 'Kim Eui-sung', 'description': 'actor'}, {'name': 'Do Mo-Se', 'description': 'actor'}, {'name': 'Na In-woo', 'description': 'actor'}, {'name': 'Han Joon-woo', 'description': 'actor'}, {'name': 'Kim Woo-taek', 'description': 'actor'}, {'name': 'Lee Byeong-hun', 'description': 'author'}]"
When Two Worlds Collide,1/22/2016,"Drama, Documentary",Free Services,Peru,Movie,,7.6/10,,"[{'name': 'Heidi Brandenburg', 'description': 'director'}, {'name': 'Mathew Orzel', 'description': 'director'}, {'name': 'Taira Akbar', 'description': 'actor'}, {'name': 'H. Scott Salinas', 'description': 'actor'}]"
Henry VI Part 1,1/2/1983,"History, Drama",BritBox,United Kingdom,Movie,,7.3/10,,"[{'name': 'Jane Howell', 'description': 'director'}, {'name': 'Peter Benson', 'description': 'actor'}, {'name': 'Brenda Blethyn', 'description': 'actor'}, {'name': 'John Benfield', 'description': 'actor'}, {'name': 'Michael Byrne', 'description': 'actor'}, {'name': 'Ron Cook', 'description': 'actor'}, {'name': 'Bernard Hill', 'description': 'actor'}, {'name': 'Trevor Peacock', 'description': 'actor'}, {'name': 'Mark Wing-Davey', 'description': 'actor'}, {'name': 'Antony Brown', 'description': 'actor'}, {'name': 'David Burke', 'description': 'actor'}, {'name': 'Paul Chapman', 'description': 'actor'}, {'name': 'Arthur Cox', 'description': 'actor'}, {'name': 'David Daker', 'description': 'actor'}, {'name': 'Brian Deacon', 'description': 'actor'}, {'name': 'Tenniel Evans', 'description': 'actor'}, {'name': 'Derek Farr', 'description': 'actor'}, {'name': 'Derek Fuke', 'description': 'actor'}, {'name': 'Alex Guard', 'description': 'actor'}, {'name': 'Paul Jesson', 'description': 'actor'}, {'name': 'Joanna McCallum', 'description': 'actor'}, {'name': 'Oengus MacNamara', 'description': 'actor'}, {'name': 'Thomas Nashe', 'description': 'author'}]"
Classic Albums: Iron Maiden - The Number of the Beast,12/4/2001,Documentary,"Free Services, Prime Video",America,Movie,All (G),8.1/10,,"[{'name': 'Tim Kirkby', 'description': 'director'}, {'name': 'Bruce Dickinson', 'description': 'actor'}, {'name': 'Dave Murray', 'description': 'actor'}, {'name': 'Adrian Smith', 'description': 'actor'}, {'name': 'Steve Harris', 'description': 'actor'}, {'name': 'Clive Burr', 'description': 'actor'}, {'name': 'Nick De Grunwald', 'description': 'actor'}, {'name': 'Geoff Kempin', 'description': 'actor'}, {'name': 'Martin R. Smith', 'description': 'actor'}, {'name': 'Terry Shand', 'description': 'actor'}]"
Antarctic Tears,1/5/2015,,Prime Video ,,Movie,,,,[]
City of Sin,1/1/2012,,Free Services,,Movie,,,,[]
Sema Ragalai,7/16/2004,Comedy,Prime Video ,,Movie,,5.6/10,,[]
Paanch Phoron,2/14/2019,Romance,Prime Video ,,TV Show,,6.4/10,2,"[{'name': 'Swastika Mukherjee', 'description': 'actor'}, {'name': 'Sohini Sarkar', 'description': 'actor'}, {'name': 'Orchita Sporshia', 'description': 'actor'}, {'name': 'Tariq Anam Khan', 'description': 'actor'}, {'name': 'Sourav Chakraborty', 'description': 'actor'}, {'name': 'Amrita Chattopadhyay', 'description': 'actor'}, {'name': 'Yash Rohan', 'description': 'actor'}, {'name': 'Anindya Pulak Banerjee', 'description': 'actor'}, {'name': 'Anirban Bhattacharya', 'description': 'actor'}, {'name': 'Jaya Ahsan', 'description': 'actor'}, {'name': 'Masuma Rahman Nabila', 'description': 'actor'}, {'name': 'Riddhi Sen', 'description': 'actor'}, {'name': 'Abhishek Saha', 'description': 'actor'}, {'name': 'Arka Ganguly', 'description': 'actor'}, {'name': 'Dipankar Dipon', 'description': 'actor'}, {'name': 'Suman Mukhopadhyay', 'description': 'actor'}, {'name': 'Tauquir Ahmed', 'description': 'actor'}]"
